nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
100;10;10;0.1;10;1;50;GAGNE;42;60;35;0;40;0;0;1;0;0.0;0.0;
100;10;10;0.1;3;1;50;GAGNE;92;10;75;0;90;0;0;1;0;0.0;0.0;
100;10;10;0.1;13;1;50;PERDU;81;-89;55;0;80;0;0;0;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;61;41;50;0;59;0;0;1;0;0.0;0.0;
100;10;10;0.1;5;1;50;GAGNE;18;84;15;0;16;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;18;84;13;0;16;0;0;1;0;0.0;0.0;
100;10;10;0.1;13;1;50;PERDU;30;-38;21;0;29;0;0;0;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;63;-71;42;0;62;0;0;0;0;0.0;0.0;
100;10;10;0.1;12;1;50;GAGNE;55;47;37;0;53;0;0;1;0;0.0;0.0;
100;10;10;0.1;6;1;50;PERDU;11;-19;6;0;10;0;0;0;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;28;74;22;0;26;0;0;1;0;0.0;0.0;
100;10;10;0.1;13;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;8;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;23;79;20;0;21;0;0;1;0;0.0;0.0;
100;10;10;0.1;15;1;50;PERDU;11;-19;6;0;10;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;94;8;71;0;92;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;4;98;2;0;2;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;3;-11;2;0;2;0;0;0;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;37;65;32;0;35;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;37;-45;25;0;36;0;0;0;0;0.0;0.0;
100;10;10;0.1;8;1;50;PERDU;28;-36;19;0;27;0;0;0;0;0.0;0.0;
100;10;10;0.1;13;1;50;PERDU;21;-29;16;0;20;0;0;0;0;0.0;0.0;
100;10;10;0.1;13;1;50;GAGNE;32;70;17;0;30;0;0;1;0;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;49;53;39;0;47;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;29;73;21;0;27;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;6;-14;4;0;5;0;0;0;0;0.0;0.0;
100;10;10;0.1;7;1;50;PERDU;21;-29;16;0;20;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;23;-31;18;0;22;0;0;0;0;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;7;95;4;0;5;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;PERDU;110;-118;78;0;109;0;0;0;0;0.0;0.0;
100;10;10;0.1;4;1;50;GAGNE;100;2;81;0;98;0;0;1;0;0.0;0.0;
100;10;10;0.1;8;1;50;GAGNE;36;66;27;0;34;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;80;22;53;0;78;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;41;61;29;0;39;0;0;1;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;30;72;21;0;28;0;0;1;0;0.0;0.0;
100;10;10;0.1;5;1;50;GAGNE;62;40;54;0;60;0;0;1;0;0.0;0.0;
100;10;10;0.1;5;1;50;GAGNE;55;47;36;0;53;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;114;-12;73;0;112;0;0;1;0;0.0;0.0;
100;10;10;0.1;12;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;12;1;50;PERDU;66;-74;47;0;65;0;0;0;0;0.0;0.0;
100;10;10;0.1;16;1;50;PERDU;54;-62;36;0;53;0;0;0;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;59;43;48;0;57;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;102;0;69;0;100;0;0;1;0;0.0;0.0;
100;10;10;0.1;7;1;50;PERDU;3;-11;2;0;2;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;48;54;32;0;46;0;0;1;0;0.0;0.0;
100;10;10;0.1;15;1;50;PERDU;9;-17;6;0;8;0;0;0;0;0.0;0.0;
100;10;10;0.1;14;1;50;PERDU;0;0;32;0;43;0;0;0;1;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;96;6;63;0;94;0;0;1;0;0.0;0.0;
