nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
400;20;20;0.05;22;1;200;GAGNE;310;92;248;0;308;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;8;394;5;0;6;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;PERDU;0;0;353;0;475;0;0;0;1;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;307;95;255;0;305;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;376;26;291;0;374;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;196;206;169;0;194;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;387;15;284;0;385;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;528;-126;366;0;526;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;103;299;89;0;101;0;0;1;0;0.0;0.0;
400;20;20;0.05;12;1;200;GAGNE;79;323;73;0;77;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;39;363;36;0;37;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;139;263;121;0;137;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;216;186;177;0;214;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;345;57;285;0;343;0;0;1;0;0.0;0.0;
400;20;20;0.05;13;1;200;GAGNE;495;-93;383;0;493;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;132;270;118;0;130;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;332;70;276;0;330;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;76;326;70;0;74;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;407;-5;329;0;405;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;189;213;159;0;187;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;33;369;29;0;31;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;341;61;295;0;339;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;35;367;32;0;33;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;419;-17;318;0;417;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;335;67;276;0;333;0;0;1;0;0.0;0.0;
400;20;20;0.05;13;1;200;GAGNE;307;95;268;0;305;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;497;-95;346;0;495;0;0;1;0;0.0;0.0;
400;20;20;0.05;28;1;200;GAGNE;362;40;255;0;360;0;0;1;0;0.0;0.0;
400;20;20;0.05;25;1;200;GAGNE;96;306;76;0;94;0;0;1;0;0.0;0.0;
400;20;20;0.05;12;1;200;GAGNE;177;225;160;0;175;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;PERDU;3;-11;2;0;2;0;0;0;0;0.0;0.0;
400;20;20;0.05;27;1;200;GAGNE;305;97;258;0;303;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;218;184;191;0;216;0;0;1;0;0.0;0.0;
400;20;20;0.05;11;1;200;GAGNE;254;148;227;0;252;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;475;-73;363;0;473;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;320;82;266;0;318;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;178;224;149;0;176;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;330;72;274;0;328;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;114;288;104;0;112;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;202;200;165;0;200;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;370;32;302;0;368;0;0;1;0;0.0;0.0;
400;20;20;0.05;29;1;200;PERDU;0;0;306;0;420;0;0;0;1;0.0;0.0;
400;20;20;0.05;13;1;200;GAGNE;7;395;5;0;5;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;32;370;27;0;30;0;0;1;0;0.0;0.0;
400;20;20;0.05;26;1;200;GAGNE;140;262;123;0;138;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;18;384;14;0;16;0;0;1;0;0.0;0.0;
400;20;20;0.05;13;1;200;GAGNE;421;-19;347;0;419;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;121;281;101;0;119;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;327;75;250;0;325;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;165;237;144;0;163;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;185;217;148;0;183;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;415;-13;301;0;413;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;379;23;309;0;377;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;4;398;2;0;2;0;0;1;0;0.0;0.0;
400;20;20;0.05;29;1;200;GAGNE;435;-33;327;0;433;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;319;83;262;0;317;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;165;237;145;0;163;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;155;247;133;0;153;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;56;346;44;0;54;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;415;-13;324;0;413;0;0;1;0;0.0;0.0;
400;20;20;0.05;27;1;200;GAGNE;62;340;51;0;60;0;0;1;0;0.0;0.0;
400;20;20;0.05;27;1;200;GAGNE;12;390;8;0;10;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;213;189;166;0;211;0;0;1;0;0.0;0.0;
400;20;20;0.05;26;1;200;PERDU;6;-14;4;0;5;0;0;0;0;0.0;0.0;
400;20;20;0.05;12;1;200;GAGNE;63;339;55;0;61;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;467;-65;359;0;465;0;0;1;0;0.0;0.0;
400;20;20;0.05;27;1;200;GAGNE;355;47;277;0;353;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;164;238;130;0;162;0;0;1;0;0.0;0.0;
400;20;20;0.05;32;1;200;GAGNE;116;286;100;0;114;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;356;46;283;0;354;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;248;154;199;0;246;0;0;1;0;0.0;0.0;
400;20;20;0.05;13;1;200;GAGNE;212;190;190;0;210;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;472;-70;371;0;470;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;88;314;73;0;86;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;279;123;228;0;277;0;0;1;0;0.0;0.0;
400;20;20;0.05;29;1;200;GAGNE;173;229;133;0;171;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;7;395;5;0;5;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;12;390;8;0;10;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;165;237;140;0;163;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;184;218;166;0;182;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;195;207;166;0;193;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;249;153;219;0;247;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;132;270;120;0;130;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;160;242;127;0;158;0;0;1;0;0.0;0.0;
400;20;20;0.05;25;1;200;GAGNE;36;366;28;0;34;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;376;26;309;0;374;0;0;1;0;0.0;0.0;
400;20;20;0.05;10;1;200;GAGNE;135;267;122;0;133;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;351;51;300;0;349;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;142;260;126;0;140;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;403;-1;331;0;401;0;0;1;0;0.0;0.0;
400;20;20;0.05;23;1;200;GAGNE;98;304;88;0;96;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;353;49;305;0;351;0;0;1;0;0.0;0.0;
400;20;20;0.05;27;1;200;GAGNE;133;269;107;0;131;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;114;288;102;0;112;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;478;-76;371;0;476;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;480;-78;363;0;478;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;8;394;5;0;6;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;108;294;96;0;106;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;50;352;40;0;48;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;PERDU;526;-534;366;0;525;0;0;0;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;88;314;68;0;86;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.05;26;1;200;GAGNE;329;73;250;0;327;0;0;1;0;0.0;0.0;
400;20;20;0.05;27;1;200;GAGNE;117;285;95;0;115;0;0;1;0;0.0;0.0;
400;20;20;0.05;25;1;200;GAGNE;306;96;250;0;304;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;484;-82;361;0;482;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;135;267;116;0;133;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;14;388;11;0;12;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;166;236;151;0;164;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;428;-26;341;0;426;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;313;89;248;0;311;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;330;72;257;0;328;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;393;9;324;0;391;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;39;363;33;0;37;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;138;264;126;0;136;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;22;380;17;0;20;0;0;1;0;0.0;0.0;
400;20;20;0.05;8;1;200;GAGNE;130;272;120;0;128;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;346;56;275;0;344;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;205;197;168;0;203;0;0;1;0;0.0;0.0;
400;20;20;0.05;27;1;200;GAGNE;100;302;83;0;98;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;PERDU;13;-21;9;0;12;0;0;0;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;309;93;258;0;307;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;479;-77;359;0;477;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;300;102;249;0;298;0;0;1;0;0.0;0.0;
400;20;20;0.05;23;1;200;GAGNE;284;118;228;0;282;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;173;229;135;0;171;0;0;1;0;0.0;0.0;
400;20;20;0.05;25;1;200;GAGNE;224;178;193;0;222;0;0;1;0;0.0;0.0;
400;20;20;0.05;13;1;200;GAGNE;37;365;34;0;35;0;0;1;0;0.0;0.0;
400;20;20;0.05;25;1;200;GAGNE;390;12;293;0;388;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;394;8;299;0;392;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;26;376;21;0;24;0;0;1;0;0.0;0.0;
400;20;20;0.05;27;1;200;GAGNE;11;391;9;0;9;0;0;1;0;0.0;0.0;
400;20;20;0.05;23;1;200;GAGNE;450;-48;326;0;448;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;215;187;164;0;213;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;164;238;135;0;162;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;149;253;128;0;147;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;152;250;135;0;150;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;230;172;182;0;228;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;45;357;40;0;43;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;134;268;126;0;132;0;0;1;0;0.0;0.0;
400;20;20;0.05;23;1;200;GAGNE;509;-107;358;0;507;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;194;208;154;0;192;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;PERDU;0;0;381;0;499;0;0;0;1;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;415;-13;324;0;413;0;0;1;0;0.0;0.0;
400;20;20;0.05;26;1;200;GAGNE;453;-51;312;0;451;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;264;138;196;0;262;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;320;82;270;0;318;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;482;-80;355;0;480;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;176;226;153;0;174;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;186;216;160;0;184;0;0;1;0;0.0;0.0;
400;20;20;0.05;28;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;180;222;150;0;178;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;12;390;10;0;10;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;20;382;17;0;18;0;0;1;0;0.0;0.0;
400;20;20;0.05;13;1;200;GAGNE;415;-13;344;0;413;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.05;23;1;200;PERDU;0;0;305;0;413;0;0;0;1;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;229;173;204;0;227;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;162;240;128;0;160;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;161;241;143;0;159;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;372;30;305;0;370;0;0;1;0;0.0;0.0;
400;20;20;0.05;10;1;200;GAGNE;6;396;4;0;4;0;0;1;0;0.0;0.0;
400;20;20;0.05;13;1;200;GAGNE;269;133;230;0;267;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;22;380;20;0;20;0;0;1;0;0.0;0.0;
400;20;20;0.05;23;1;200;GAGNE;20;382;15;0;18;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;16;386;10;0;14;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;29;373;24;0;27;0;0;1;0;0.0;0.0;
400;20;20;0.05;23;1;200;GAGNE;393;9;293;0;391;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;118;284;98;0;116;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;388;14;318;0;386;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;121;281;104;0;119;0;0;1;0;0.0;0.0;
400;20;20;0.05;26;1;200;GAGNE;126;276;85;0;124;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;PERDU;0;0;374;0;491;0;0;0;1;0.0;0.0;
400;20;20;0.05;20;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.05;23;1;200;GAGNE;69;333;58;0;67;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;202;200;179;0;200;0;0;1;0;0.0;0.0;
400;20;20;0.05;27;1;200;GAGNE;119;283;105;0;117;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;388;14;301;0;386;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;43;359;36;0;41;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;190;212;156;0;188;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;343;59;284;0;341;0;0;1;0;0.0;0.0;
400;20;20;0.05;25;1;200;GAGNE;24;378;22;0;22;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;201;201;182;0;199;0;0;1;0;0.0;0.0;
400;20;20;0.05;36;1;200;GAGNE;423;-21;293;0;421;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;220;182;191;0;218;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;195;207;177;0;193;0;0;1;0;0.0;0.0;
400;20;20;0.05;25;1;200;GAGNE;30;372;26;0;28;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;116;286;93;0;114;0;0;1;0;0.0;0.0;
400;20;20;0.05;12;1;200;GAGNE;474;-72;375;0;472;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;206;196;174;0;204;0;0;1;0;0.0;0.0;
400;20;20;0.05;25;1;200;GAGNE;317;85;268;0;315;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;218;184;170;0;216;0;0;1;0;0.0;0.0;
400;20;20;0.05;17;1;200;GAGNE;207;195;166;0;205;0;0;1;0;0.0;0.0;
400;20;20;0.05;23;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;71;331;66;0;69;0;0;1;0;0.0;0.0;
400;20;20;0.05;23;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;479;-77;361;0;477;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;290;112;238;0;288;0;0;1;0;0.0;0.0;
400;20;20;0.05;23;1;200;GAGNE;269;133;221;0;267;0;0;1;0;0.0;0.0;
400;20;20;0.05;26;1;200;GAGNE;286;116;240;0;284;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;11;391;7;0;9;0;0;1;0;0.0;0.0;
400;20;20;0.05;34;1;200;GAGNE;10;392;8;0;8;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;458;-56;353;0;456;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;224;178;194;0;222;0;0;1;0;0.0;0.0;
400;20;20;0.05;12;1;200;GAGNE;166;236;138;0;164;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;PERDU;4;-12;3;0;3;0;0;0;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;149;253;125;0;147;0;0;1;0;0.0;0.0;
400;20;20;0.05;28;1;200;GAGNE;114;288;82;0;112;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;265;137;215;0;263;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;390;12;299;0;388;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;350;52;299;0;348;0;0;1;0;0.0;0.0;
400;20;20;0.05;27;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;78;324;68;0;76;0;0;1;0;0.0;0.0;
400;20;20;0.05;25;1;200;GAGNE;26;376;20;0;24;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;360;42;287;0;358;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;177;225;160;0;175;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;470;-68;372;0;468;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;103;299;78;0;101;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;55;347;48;0;53;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;406;-4;326;0;404;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;511;-109;363;0;509;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;401;1;316;0;399;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;118;284;102;0;116;0;0;1;0;0.0;0.0;
400;20;20;0.05;23;1;200;GAGNE;154;248;130;0;152;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;224;178;178;0;222;0;0;1;0;0.0;0.0;
400;20;20;0.05;27;1;200;PERDU;15;-23;11;0;14;0;0;0;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;354;48;258;0;352;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;320;82;269;0;318;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;380;22;300;0;378;0;0;1;0;0.0;0.0;
400;20;20;0.05;27;1;200;GAGNE;228;174;191;0;226;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;412;-10;316;0;410;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;143;259;128;0;141;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;363;39;302;0;361;0;0;1;0;0.0;0.0;
400;20;20;0.05;23;1;200;GAGNE;306;96;246;0;304;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;227;175;194;0;225;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;485;-83;363;0;483;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;321;81;261;0;319;0;0;1;0;0.0;0.0;
400;20;20;0.05;14;1;200;GAGNE;173;229;158;0;171;0;0;1;0;0.0;0.0;
400;20;20;0.05;19;1;200;GAGNE;184;218;163;0;182;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;18;384;14;0;16;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;PERDU;473;-481;345;0;472;0;0;0;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;416;-14;311;0;414;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;191;211;166;0;189;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;272;130;237;0;270;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;359;43;270;0;357;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;16;386;12;0;14;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;12;390;9;0;10;0;0;1;0;0.0;0.0;
400;20;20;0.05;23;1;200;GAGNE;164;238;128;0;162;0;0;1;0;0.0;0.0;
400;20;20;0.05;26;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.05;18;1;200;GAGNE;29;373;24;0;27;0;0;1;0;0.0;0.0;
400;20;20;0.05;15;1;200;GAGNE;27;375;25;0;25;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;116;286;93;0;114;0;0;1;0;0.0;0.0;
400;20;20;0.05;20;1;200;GAGNE;492;-90;366;0;490;0;0;1;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;31;371;26;0;29;0;0;1;0;0.0;0.0;
400;20;20;0.05;18;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.05;16;1;200;GAGNE;322;80;257;0;320;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;70;332;60;0;68;0;0;1;0;0.0;0.0;
400;20;20;0.05;11;1;200;GAGNE;230;172;201;0;228;0;0;1;0;0.0;0.0;
400;20;20;0.05;21;1;200;GAGNE;161;241;134;0;159;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;GAGNE;202;200;165;0;200;0;0;1;0;0.0;0.0;
400;20;20;0.05;24;1;200;PERDU;26;-34;16;0;25;0;0;0;0;0.0;0.0;
400;20;20;0.05;23;1;200;GAGNE;17;385;15;0;15;0;0;1;0;0.0;0.0;
400;20;20;0.05;22;1;200;GAGNE;67;335;61;0;65;0;0;1;0;0.0;0.0;
