nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
25;5;5;0.1;3;1;12;GAGNE;18;8;12;0;16;0;0;1;0;0.0;0.0;
25;5;5;0.1;3;1;12;PERDU;0;0;12;0;17;0;0;0;1;0.0;0.0;
25;5;5;0.1;3;1;12;GAGNE;2;24;0;0;0;0;0;1;0;0.0;0.0;
25;5;5;0.1;2;1;12;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
25;5;5;0.1;3;1;12;PERDU;10;-18;7;0;9;0;0;0;0;0.0;0.0;
25;5;5;0.1;1;1;12;GAGNE;15;11;12;0;13;0;0;1;0;0.0;0.0;
25;5;5;0.1;0;1;12;GAGNE;22;4;16;0;20;0;0;1;0;0.0;0.0;
25;5;5;0.1;1;1;12;GAGNE;21;5;15;0;19;0;0;1;0;0.0;0.0;
25;5;5;0.1;5;1;12;PERDU;5;-13;4;0;4;0;0;0;0;0.0;0.0;
25;5;5;0.1;3;1;12;PERDU;20;-28;15;0;19;0;0;0;0;0.0;0.0;
