nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
400;20;20;0.1;43;1;200;GAGNE;376;26;244;0;374;0;0;1;0;0.0;0.0;
400;20;20;0.1;45;1;200;GAGNE;232;170;159;0;230;0;0;1;0;0.0;0.0;
400;20;20;0.1;41;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.1;39;1;200;GAGNE;2;400;0;0;0;0;0;1;0;0.0;0.0;
400;20;20;0.1;35;1;200;GAGNE;3;399;1;0;1;0;0;1;0;0.0;0.0;
400;20;20;0.1;50;1;200;PERDU;360;-368;242;0;359;0;0;0;0;0.0;0.0;
400;20;20;0.1;42;1;200;PERDU;473;-481;309;0;472;0;0;0;0;0.0;0.0;
400;20;20;0.1;43;1;200;GAGNE;82;320;73;0;80;0;0;1;0;0.0;0.0;
400;20;20;0.1;46;1;200;PERDU;175;-183;116;0;174;0;0;0;0;0.0;0.0;
400;20;20;0.1;46;1;200;GAGNE;294;108;207;0;292;0;0;1;0;0.0;0.0;
400;20;20;0.1;29;1;200;GAGNE;52;350;31;0;50;0;0;1;0;0.0;0.0;
400;20;20;0.1;35;1;200;PERDU;3;-11;2;0;2;0;0;0;0;0.0;0.0;
400;20;20;0.1;37;1;200;GAGNE;393;9;286;0;391;0;0;1;0;0.0;0.0;
400;20;20;0.1;42;1;200;PERDU;388;-396;248;0;387;0;0;0;0;0.0;0.0;
400;20;20;0.1;46;1;200;PERDU;95;-103;59;0;94;0;0;0;0;0.0;0.0;
400;20;20;0.1;35;1;200;GAGNE;166;236;126;0;164;0;0;1;0;0.0;0.0;
400;20;20;0.1;35;1;200;GAGNE;164;238;120;0;162;0;0;1;0;0.0;0.0;
400;20;20;0.1;46;1;200;GAGNE;43;359;32;0;41;0;0;1;0;0.0;0.0;
400;20;20;0.1;48;1;200;GAGNE;104;298;72;0;102;0;0;1;0;0.0;0.0;
400;20;20;0.1;38;1;200;GAGNE;274;128;195;0;272;0;0;1;0;0.0;0.0;
400;20;20;0.1;33;1;200;GAGNE;71;331;50;0;69;0;0;1;0;0.0;0.0;
400;20;20;0.1;46;1;200;GAGNE;206;196;140;0;204;0;0;1;0;0.0;0.0;
400;20;20;0.1;38;1;200;GAGNE;177;225;129;0;175;0;0;1;0;0.0;0.0;
400;20;20;0.1;53;1;200;GAGNE;62;340;53;0;60;0;0;1;0;0.0;0.0;
400;20;20;0.1;38;1;200;GAGNE;212;190;164;0;210;0;0;1;0;0.0;0.0;
400;20;20;0.1;41;1;200;GAGNE;94;308;69;0;92;0;0;1;0;0.0;0.0;
400;20;20;0.1;57;1;200;PERDU;65;-73;45;0;64;0;0;0;0;0.0;0.0;
400;20;20;0.1;37;1;200;PERDU;3;-11;2;0;2;0;0;0;0;0.0;0.0;
400;20;20;0.1;51;1;200;PERDU;122;-130;82;0;121;0;0;0;0;0.0;0.0;
400;20;20;0.1;47;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.1;45;1;200;PERDU;19;-27;13;0;18;0;0;0;0;0.0;0.0;
400;20;20;0.1;35;1;200;PERDU;56;-64;35;0;55;0;0;0;0;0.0;0.0;
400;20;20;0.1;39;1;200;GAGNE;327;75;230;0;325;0;0;1;0;0.0;0.0;
400;20;20;0.1;37;1;200;PERDU;84;-92;49;0;83;0;0;0;0;0.0;0.0;
400;20;20;0.1;41;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.1;51;1;200;GAGNE;248;154;168;0;246;0;0;1;0;0.0;0.0;
400;20;20;0.1;42;1;200;GAGNE;68;334;56;0;66;0;0;1;0;0.0;0.0;
400;20;20;0.1;37;1;200;GAGNE;10;392;7;0;8;0;0;1;0;0.0;0.0;
400;20;20;0.1;39;1;200;GAGNE;121;281;88;0;119;0;0;1;0;0.0;0.0;
400;20;20;0.1;37;1;200;GAGNE;13;389;10;0;11;0;0;1;0;0.0;0.0;
400;20;20;0.1;40;1;200;PERDU;0;0;44;0;66;0;0;0;1;0.0;0.0;
400;20;20;0.1;40;1;200;GAGNE;152;250;119;0;150;0;0;1;0;0.0;0.0;
400;20;20;0.1;46;1;200;PERDU;43;-51;33;0;42;0;0;0;0;0.0;0.0;
400;20;20;0.1;42;1;200;GAGNE;280;122;207;0;278;0;0;1;0;0.0;0.0;
400;20;20;0.1;38;1;200;PERDU;20;-28;12;0;19;0;0;0;0;0.0;0.0;
400;20;20;0.1;35;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.1;41;1;200;PERDU;0;0;14;0;21;0;0;0;1;0.0;0.0;
400;20;20;0.1;51;1;200;GAGNE;119;283;86;0;117;0;0;1;0;0.0;0.0;
400;20;20;0.1;38;1;200;PERDU;27;-35;18;0;26;0;0;0;0;0.0;0.0;
400;20;20;0.1;41;1;200;PERDU;93;-101;57;0;92;0;0;0;0;0.0;0.0;
400;20;20;0.1;39;1;200;PERDU;5;-13;3;0;4;0;0;0;0;0.0;0.0;
400;20;20;0.1;36;1;200;GAGNE;109;293;87;0;107;0;0;1;0;0.0;0.0;
400;20;20;0.1;36;1;200;GAGNE;118;284;94;0;116;0;0;1;0;0.0;0.0;
400;20;20;0.1;34;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.1;40;1;200;PERDU;8;-16;5;0;7;0;0;0;0;0.0;0.0;
400;20;20;0.1;34;1;200;PERDU;6;-14;4;0;5;0;0;0;0;0.0;0.0;
400;20;20;0.1;37;1;200;GAGNE;7;395;3;0;5;0;0;1;0;0.0;0.0;
400;20;20;0.1;31;1;200;GAGNE;106;296;89;0;104;0;0;1;0;0.0;0.0;
400;20;20;0.1;32;1;200;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
400;20;20;0.1;36;1;200;GAGNE;178;224;123;0;176;0;0;1;0;0.0;0.0;
