nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
25;5;5;0.1;2;1;12;GAGNE;13;13;9;0;11;0;0;1;0;0.0;0.0;
25;5;5;0.1;1;1;12;GAGNE;11;15;8;0;9;0;0;1;0;0.0;0.0;
25;5;5;0.1;3;1;12;PERDU;8;-16;5;0;7;0;0;0;0;0.0;0.0;
25;5;5;0.1;2;1;12;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
25;5;5;0.1;4;1;12;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
25;5;5;0.1;2;1;12;GAGNE;11;15;8;0;9;0;0;1;0;0.0;0.0;
25;5;5;0.1;0;1;12;GAGNE;21;5;16;0;19;0;0;1;0;0.0;0.0;
25;5;5;0.1;0;1;12;GAGNE;25;1;19;0;23;0;0;1;0;0.0;0.0;
25;5;5;0.1;3;1;12;PERDU;5;-13;3;0;4;0;0;0;0;0.0;0.0;
25;5;5;0.1;5;1;12;GAGNE;2;24;0;0;0;0;0;1;0;0.0;0.0;
