nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
25;5;5;0.1;5;1;12;GAGNE;4;22;2;0;2;0;0;1;0;0.0;0.0;
25;5;5;0.1;1;1;12;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
25;5;5;0.1;3;1;12;PERDU;4;-12;3;0;3;0;0;0;0;0.0;0.0;
25;5;5;0.1;2;1;12;GAGNE;6;20;3;0;4;0;0;1;0;0.0;0.0;
25;5;5;0.1;0;1;12;GAGNE;15;11;12;0;13;0;0;1;0;0.0;0.0;
25;5;5;0.1;3;1;12;GAGNE;3;23;1;0;1;0;0;1;0;0.0;0.0;
25;5;5;0.1;6;1;12;PERDU;9;-17;6;0;8;0;0;0;0;0.0;0.0;
25;5;5;0.1;1;1;12;GAGNE;25;1;16;0;23;0;0;1;0;0.0;0.0;
25;5;5;0.1;2;1;12;PERDU;3;-11;2;0;2;0;0;0;0;0.0;0.0;
25;5;5;0.1;2;1;12;GAGNE;27;-1;16;0;25;0;0;1;0;0.0;0.0;
