nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
400;20;20;0.1;33;1;200;PERDU;0;0;40;0;61;0;0;0;1;0.0;0.0;
400;20;20;0.1;58;1;200;PERDU;0;0;39;0;72;0;0;0;1;0.0;0.0;
400;20;20;0.1;36;1;200;PERDU;47;-55;30;0;46;0;0;0;0;0.0;0.0;
400;20;20;0.1;31;1;200;GAGNE;77;325;58;0;75;0;0;1;0;0.0;0.0;
400;20;20;0.1;43;1;200;GAGNE;91;311;76;0;89;0;0;1;0;0.0;0.0;
