nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
100;10;10;0.1;15;1;50;PERDU;7;-15;5;0;6;0;0;0;0;0.0;0.0;
100;10;10;0.1;15;1;50;PERDU;13;-21;9;0;12;0;0;0;0;0.0;0.0;
100;10;10;0.1;12;1;50;GAGNE;19;83;14;0;17;0;0;1;0;0.0;0.0;
100;10;10;0.1;4;1;50;GAGNE;132;-30;93;0;130;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;47;55;40;0;45;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;2;100;0;0;0;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;19;-27;14;0;18;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;78;24;56;0;76;0;0;1;0;0.0;0.0;
100;10;10;0.1;8;1;50;GAGNE;69;33;48;0;67;0;0;1;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;57;45;43;0;55;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;85;17;56;0;83;0;0;1;0;0.0;0.0;
100;10;10;0.1;4;1;50;GAGNE;86;16;64;0;84;0;0;1;0;0.0;0.0;
100;10;10;0.1;17;1;50;PERDU;20;-28;13;0;19;0;0;0;0;0.0;0.0;
100;10;10;0.1;12;1;50;GAGNE;85;17;64;0;83;0;0;1;0;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;46;56;40;0;44;0;0;1;0;0.0;0.0;
100;10;10;0.1;5;1;50;GAGNE;69;33;58;0;67;0;0;1;0;0.0;0.0;
100;10;10;0.1;8;1;50;GAGNE;87;15;63;0;85;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;PERDU;0;0;50;0;82;0;0;0;1;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;39;63;32;0;37;0;0;1;0;0.0;0.0;
100;10;10;0.1;12;1;50;PERDU;21;-29;15;0;20;0;0;0;0;0.0;0.0;
