nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;nbMaxTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
400;20;20;0.0;0;5;200;GAGNE;160;4000;242;89;0;158;9;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;17;4000;385;14;0;15;1;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;236;4000;166;121;0;234;13;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;337;4000;65;166;0;335;17;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;707;4000;-305;350;0;705;35;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;55;4000;347;31;0;53;3;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;701;4000;-299;344;0;699;35;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;329;4000;73;170;0;327;17;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;21;4000;381;17;0;19;2;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;200;4000;202;107;0;198;11;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;613;4000;-211;300;0;611;31;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;636;4000;-234;318;0;634;31;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;573;4000;-171;282;0;571;29;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;309;4000;93;159;0;307;15;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;663;4000;-261;324;0;661;33;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;685;4000;-283;328;0;683;35;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;615;4000;-213;302;0;613;31;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;173;4000;229;86;0;171;9;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;643;4000;-241;308;0;641;33;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;131;4000;271;82;0;129;7;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;542;4000;-140;266;0;540;27;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;329;4000;73;170;0;327;17;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;563;4000;-161;272;0;561;29;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;668;4000;-266;329;0;666;33;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;7;4000;395;5;0;5;0;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;613;4000;-211;300;0;611;31;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;9;4000;393;6;0;7;1;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;614;4000;-212;301;0;612;31;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;552;4000;-150;262;0;550;28;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;660;4000;-258;325;0;658;33;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;406;4000;-4;203;0;404;21;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;282;4000;120;145;0;280;15;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;467;4000;-65;233;0;465;23;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;305;4000;97;168;0;303;15;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;493;4000;-91;246;0;491;25;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;529;4000;-127;260;0;527;27;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;785;4000;-383;384;0;783;39;0;1;0;0.0;0.0;
400;20;20;0.0;0;5;200;GAGNE;492;4000;-90;245;0;490;25;0;1;0;0.0;0.0;
