nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
100;10;10;0.1;6;1;50;PERDU;127;-135;90;0;126;0;0;0;0;0.0;0.0;
100;10;10;0.1;14;1;50;PERDU;38;-46;27;0;37;0;0;0;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;10;-18;7;0;9;0;0;0;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;22;80;16;0;20;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;2;100;0;0;0;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;44;58;30;0;42;0;0;1;0;0.0;0.0;
100;10;10;0.1;14;1;50;PERDU;21;-29;16;0;20;0;0;0;0;0.0;0.0;
100;10;10;0.1;8;1;50;PERDU;7;-15;5;0;6;0;0;0;0;0.0;0.0;
100;10;10;0.1;15;1;50;GAGNE;17;85;11;0;15;0;0;1;0;0.0;0.0;
100;10;10;0.1;6;1;50;PERDU;46;-54;28;0;45;0;0;0;0;0.0;0.0;
100;10;10;0.1;15;1;50;PERDU;61;-69;40;0;60;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;7;-15;4;0;6;0;0;0;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;16;86;13;0;14;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;15;87;11;0;13;0;0;1;0;0.0;0.0;
100;10;10;0.1;12;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;79;23;61;0;77;0;0;1;0;0.0;0.0;
100;10;10;0.1;8;1;50;PERDU;0;0;50;0;76;0;0;0;1;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;75;27;59;0;73;0;0;1;0;0.0;0.0;
100;10;10;0.1;13;1;50;GAGNE;65;37;46;0;63;0;0;1;0;0.0;0.0;
100;10;10;0.1;16;1;50;GAGNE;14;88;9;0;12;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;73;29;56;0;71;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;39;-47;28;0;38;0;0;0;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;11;91;7;0;9;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;14;-22;9;0;13;0;0;0;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;3;-11;2;0;2;0;0;0;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;19;83;15;0;17;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;3;99;1;0;1;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;0;0;17;0;29;0;0;0;1;0.0;0.0;
100;10;10;0.1;12;1;50;GAGNE;62;40;38;0;60;0;0;1;0;0.0;0.0;
100;10;10;0.1;12;1;50;GAGNE;61;41;42;0;59;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;0;0;24;0;36;0;0;0;1;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;8;94;5;0;6;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;87;15;64;0;85;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;10;92;6;0;8;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;101;1;79;0;99;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;0;0;66;0;92;0;0;0;1;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;73;29;67;0;71;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;47;55;38;0;45;0;0;1;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;12;90;8;0;10;0;0;1;0;0.0;0.0;
100;10;10;0.1;7;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;34;68;27;0;32;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;19;-27;14;0;18;0;0;0;0;0.0;0.0;
100;10;10;0.1;12;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;17;1;50;PERDU;26;-34;16;0;25;0;0;0;0;0.0;0.0;
100;10;10;0.1;12;1;50;GAGNE;11;91;8;0;9;0;0;1;0;0.0;0.0;
100;10;10;0.1;8;1;50;GAGNE;79;23;58;0;77;0;0;1;0;0.0;0.0;
100;10;10;0.1;14;1;50;GAGNE;23;79;16;0;21;0;0;1;0;0.0;0.0;
100;10;10;0.1;3;1;50;GAGNE;19;83;15;0;17;0;0;1;0;0.0;0.0;
100;10;10;0.1;14;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;0;0;59;0;87;0;0;0;1;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;38;64;31;0;36;0;0;1;0;0.0;0.0;
100;10;10;0.1;14;1;50;GAGNE;6;96;4;0;4;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;78;24;55;0;76;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;81;21;65;0;79;0;0;1;0;0.0;0.0;
100;10;10;0.1;16;1;50;GAGNE;58;44;43;0;56;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;13;-21;9;0;12;0;0;0;0;0.0;0.0;
100;10;10;0.1;14;1;50;PERDU;42;-50;27;0;41;0;0;0;0;0.0;0.0;
100;10;10;0.1;8;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;17;-25;10;0;16;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;63;-71;47;0;62;0;0;0;0;0.0;0.0;
100;10;10;0.1;14;1;50;GAGNE;28;74;22;0;26;0;0;1;0;0.0;0.0;
100;10;10;0.1;13;1;50;PERDU;117;-125;74;0;116;0;0;0;0;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;52;50;44;0;50;0;0;1;0;0.0;0.0;
