nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
100;10;10;0.1;12;1;50;GAGNE;48;54;37;0;46;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;55;47;43;0;53;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;106;-4;78;0;104;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;16;86;13;0;14;0;0;1;0;0.0;0.0;
100;10;10;0.1;8;1;50;GAGNE;10;92;8;0;8;0;0;1;0;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;3;99;1;0;1;0;0;1;0;0.0;0.0;
100;10;10;0.1;8;1;50;PERDU;90;-98;63;0;89;0;0;0;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;76;26;61;0;74;0;0;1;0;0.0;0.0;
100;10;10;0.1;5;1;50;GAGNE;74;28;60;0;72;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;12;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;12;1;50;GAGNE;68;34;51;0;66;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;31;-39;21;0;30;0;0;0;0;0.0;0.0;
100;10;10;0.1;12;1;50;GAGNE;14;88;9;0;12;0;0;1;0;0.0;0.0;
100;10;10;0.1;7;1;50;PERDU;0;0;88;0;119;0;0;0;1;0.0;0.0;
100;10;10;0.1;8;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;109;-7;62;0;107;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;3;99;1;0;1;0;0;1;0;0.0;0.0;
100;10;10;0.1;12;1;50;PERDU;3;-11;2;0;2;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;33;-41;23;0;32;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;95;7;59;0;93;0;0;1;0;0.0;0.0;
100;10;10;0.1;13;1;50;PERDU;3;-11;2;0;2;0;0;0;0;0.0;0.0;
100;10;10;0.1;13;1;50;PERDU;61;-69;44;0;60;0;0;0;0;0.0;0.0;
100;10;10;0.1;12;1;50;PERDU;94;-102;65;0;93;0;0;0;0;0.0;0.0;
100;10;10;0.1;9;1;50;PERDU;108;-116;73;0;107;0;0;0;0;0.0;0.0;
100;10;10;0.1;13;1;50;PERDU;13;-21;8;0;12;0;0;0;0;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;75;27;57;0;73;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;2;100;0;0;0;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;108;-6;77;0;106;0;0;1;0;0.0;0.0;
100;10;10;0.1;12;1;50;PERDU;91;-99;66;0;90;0;0;0;0;0.0;0.0;
100;10;10;0.1;14;1;50;GAGNE;29;73;24;0;27;0;0;1;0;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;62;40;50;0;60;0;0;1;0;0.0;0.0;
100;10;10;0.1;12;1;50;GAGNE;2;100;0;0;0;0;0;1;0;0.0;0.0;
100;10;10;0.1;8;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;52;50;40;0;50;0;0;1;0;0.0;0.0;
100;10;10;0.1;14;1;50;GAGNE;14;88;11;0;12;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;85;17;67;0;83;0;0;1;0;0.0;0.0;
