nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;nbMaxTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
100;10;10;0.0;0;5;50;GAGNE;152;1000;-50;75;0;150;15;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;158;1000;-56;78;0;156;15;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;26;1000;76;12;0;24;3;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;84;1000;18;43;0;82;9;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;196;1000;-94;95;0;194;19;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;11;1000;91;7;0;9;2;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;74;1000;28;45;0;72;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;15;1000;87;11;0;13;2;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;14;1000;88;10;0;12;2;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;83;1000;19;42;0;81;9;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;12;1000;90;9;0;10;1;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;45;1000;57;28;0;43;5;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;130;1000;-28;65;0;128;13;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;63;1000;39;34;0;61;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;105;1000;-3;52;0;103;11;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;191;1000;-89;90;0;189;19;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;49;1000;53;21;0;47;6;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;189;1000;-87;88;0;187;19;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;13;1000;89;9;0;11;2;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;31;1000;71;26;0;29;3;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;153;1000;-51;73;0;151;15;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;47;1000;55;30;0;45;5;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;27;1000;75;22;0;25;3;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;113;1000;-11;60;0;111;11;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;113;1000;-11;60;0;111;11;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;67;1000;35;31;0;65;7;0;1;0;0.0;0.0;
